slang,formal
"mudh""an",mudah-mudahan
muga,moga
mugi,semoga
mugi2,moga-moga
"muka""",muka-muka
muka2,muka-muka
mukae,mukanya
mukanyaa,mukanya
mukax,mukanya
muke,muka
mulay,mulai
muliany,mulianya
muluk2,berlebihan
mulusssss,mulus
mulut2,mulut-mulut
mulutny,mulutnya
mulutnyaaa,mulutnya
muluuu,melulu
mumpng,mumpung
muna,munafik
munaafikk,munafik
munafikk,munafik
mungah,naik
mungki,mungkin
mungkiin,mungkin
mupeng,muka pengin
muraaaaah,murah
murahhh,murah
murhan,murahan
murmer,murah meriah
music,musik
musim2,musim-musim
musium,museum
mustinya,mestinya
muter,berputar
muter2,berputar-putar
mutihin,memutihkan
mutuain,memutuskan
mutusin,memutuskan
muuuu,mu
mw,mau
mwah,mewah
myname,namaku
mz,mas
na,nya
naaaa,nya
naaaaahh,nah
naaaak,nak
naaahhh,nah
nabrak,menabrak
naek,naik
nafass,nafas
nafkahin,menafkahi
naggung,menanggung
nagiss,menangis
nahan,menahan
nahannnn,tahan
nahh,nah
nahhh,nah
nais,nice
naitu,nah itu
najiss,najis
naka,nakal
naksir,menaksir
nakutin,menakutkan
"nama""",nama-nama
nama.a,namanya
nama2,nama-nama
namain,menamai
nama'in,namai
namany,namanya
namanye,namanya
namax,namanya
nambah,bertambah
nambah2,nambah-nambah
nambahh,bertambah
name,nama
named,dinamai
names,nama
namnya,namanya
nampak,menampak
nampar,menampar
nanganin,menangani
nanges,nangis
nanget,banget
nanggepin,menanggapi
nangiiiiis,menangis
nangiiis,menangis
nangiis,menangis
nangis,menangis
"nangis""",menangis-nangis
nangiss,menangis
nangisss,menangis
nantangin,menantang
nantii,nanti
nantiii,nanti
nantik,nanti
nanya,bertanya
nanyain,menanyakan
naon,apa
napa,kenapa
napah,kenapa
nape,kenapa
napsuu,napsu
narcis,narsis
nari,menari
narik,menarik
naro,naruh
nasehatin,menasihati
nasgor,nasi goreng
nasgornya,nasi gorengnya
natap,menatap
naturalllll,natural
navigation,navigasi
nawarin,menawari
ncek,encek
nd,indak
nda,indak
ndadak,mendadak
ndak,tidak
ndakpapa,tidak apa-apa
ndang,buruan
ndek,sejak
ndelik,bersembunyi
ndelok,melihat
ndengkur,mendengkur
ndi,mana
ndk,tidak
ndodok,jongkok
ndukung,mendukung
ndut,gendut
nduwe,punya
ne,ini
nebelin,menebalkan
nee,ini
need,butuh
needed,dibutuhkan
needs,kebutuhan
negative,negatif
negra,negara
negri,negeri
neh,nih
neko2,neko-neko
nelepon,menelpon
nelfon,menelpon
nelor,bertelur
nelp,menelpon
nelpon,menelpon
nelv,menelpon
nelvon,menelpon
nemanin,menemani
nembak,menembak
nembaknya,menembaknya
nembaknye,menembaknya
nembus,menembus
nemen,banget
nemenin,menemani
nempel,menempel
nemu,menemukan
nemuin,menemui
nemuinnya,menemuinya
nemuinya,menemuinya
nemunya,menemukannya
nenangin,menenangkan
nendang,menendang
"nenek""",nenek-nenek
nenek2,nenek-nenek
nengheningkan,mengheningkan
nengkene,disini
nengkono,disana
nengok,menengok
nengokin,menengoki
nenteng,membawa
nenteng2,membawa
nentuin,menentukan
nepatin,menepati
nerawang,menerawang
nerima,menerima
nerusin,meneruskan
netaas,menetas
netes,menetes
netter,pengguna internet
network,jaringan
never,tidak pernah
nevermind,tidak usah dipikirkan
news,berita
nga,enggak
ngabadiin,mengabadikan
ngabadin,mengabadikan
ngabarin,mengabari
ngabisin,menghabiskan
ngabohong,berbohong
ngabolang,berpetualang
ngaca,berkaca
ngacaaa,mengaca
ngacir,kabur
ngaco,mengaco
ngadain,mengadakan
ngadem,berteduh
ngademin,meneduhkan
ngadep,menghadap
ngadirin,menghadiri
ngadu,mengadu
ngagetin,mengagetkan
ngajak,mengajak
ngajak2,ngajak-ngajak
ngajakgue,mengajak saya
ngajakinya,mengajaknya
ngajar,mengajar
ngajari,mengajari
ngajarin,mengajari
ngaji,mengaji
ngajuin,mengajukan
ngak,tidak
ngakaaaakkk,mengakak
ngakak,tertawa
ngakakkk,mengakak
ngaku,mengaku
"ngaku""",mengaku-ngaku
ngakuin,mengakui
ngalah,mengalah
ngalahin,mengalahkan
ngalihin,mengalihkan
ngalir,mengalir
ngalirrrrr,mengalir
ngamatin,mengamati
ngambang,mengambang
ngambek,mengambek
ngambekan,ambekan
ngambeknya,mengambeknya
ngambil,mengambil
ngambilin,mengambilkan
ngambilnya,mengambilnya
ngampus,pergi ke kampus
ngamuk2,mengamuk-ngamuk
nganbek,mengambek
ngancani,menemani
ngancurin,menghancurkan
ngandeng,menggandeng
ngangap,menganggap
ngangenin,membuat kangen
ngangge,menggunakan
nganggepin,menanggapi
nganggo,menggunakan
ngangguk,mengangguk
ngangur,menganggur
nganjel,mengganjal
ngantar,mengantar
nganteng,ganteng
nganter,mengantar
nganterin,mengantarkan
nganti,sampai
ngantongi,mengantongi
ngantongin,mengantongi
ngantor,pergi ke kantor
ngantre,mengantri
ngantri,mengantri
ngantrinya,mengantrinya
ngantuks,mengantuk
ngapa2in,ngapa-ngapain
ngapain,mengapa
ngapal,menghafal
ngapalin,menghafalkan
ngapasih,mengapa sih
ngape,ngapain
ngapo,ngapain
ngapus,menghapus
ngapusi,berbohong
ngara,negara
ngarah,mengarah
ngarang,mengarang
ngaranye,negaranya
ngarap,mengerjakan
ngarep,berharap
ngarepane,harapannya
ngarepin,mengharapkan
ngareppppp,mengharap
ngaret,telat
ngarsipin,mengarsipkan
ngarti,mengerti
ngaruh,berpengaruh
ngash,memberi
ngasi,memberi
ngasih,memberi
ngasih2,memberi
ngasihnya,memberinya
ngaso,istirahat
ngasuh,mengasuh
ngata2in,mengatai-ngatai
ngatai,mengatai
ngatain,mengatakan
ngatasi,mengatasi
ngatasin,mengatasi
ngatur,mengatur
ngawasin,mengawasi
ngawe,membuat
ngawur,ngasal
ngawur2an,ngasal-asalan
ngayal,mengkhayal
ngayalnye,mengkhayalnya
ngbikin,membuat
ngbom,mengebom
ngbrol,mengobrol
ngbuka,membuka
ngcpin,mengucapkan
ngdate,berkencan
ngebala,bala
ngebales,membalas
ngebalikin,mengembalikan
ngebalikinnya,mengembalikannya
ngebalikinya,mengembalikannya
ngeband,main band
ngebangain,membanggakan
ngebanggain,membanggakan
ngebangun,membangun
ngebantai,membantai
ngebantu,membantu
ngebanyol,membanyol
ngebawa,membawa
ngebayangin,membayangkan
ngebayanginnya,membayangkannya
ngebayanginya,membayangkannya
ngebedain,membedakan
ngebel,menelpon
ngebela,membela
ngebelain,membela
ngebelin,membelikan
ngebenci,membenci
ngebiarin,membiarkan
ngebilangin,memberitau
ngeblokir,memblokir
ngebo,tidur
Ngebolang,berpetualang
ngebolehin,membolehkan
ngebom,mengebom
ngebor,mengebor
ngebosenin,membosankan
ngebuktiin,membuktikan
ngebunuh,membunuh
ngebut,mengebut
ngebut2,kebut-kebutan
ngebutz,mengebut
ngebutzzz,mengebut
ngecapin,mengecapi
ngece,mengejek
ngecek,mengecek
ngeces,mengecas
ngecet,mengecat
ngeclub,membuat klub
nged,banget
ngedadak,mendadak
ngedarin,mengedarkan
ngedate,berkencan
ngedeke,membangun
ngedekke,membangun
ngedengkur,mendengkur
ngedit,mengedit
ngedit2,mengedit-edit
ngeditnya,mengeditnya
ngedoain,mendoakan
ngedor,menembak
ngedp,membayar uang muka
ngedufan,pergi ke dufan
ngedukung,mendukung
ngefans,fan
ngefolow,ngefollow
ngegampar,menggampar
ngegantiin,menggantikan
ngegemesin,menggemaskan
ngegmesin,menggemaskan
ngegolin,mencetak gol
ngeh,engah
ngehakimi,menghakimi
ngehalau,menghalau
ngehancurin,menghancurkan
ngehargai,menghargai
ngehibur,menghibur
ngehina,menghina
ngehormatin,menghormati
ngehujat,menghujat
ngeidealin,mengidealkan
ngejagain,menjagakan
ngejak,mengajak
ngejalanin,menjalani
ngejamin,menjamin
ngejanjin,menjanjikan
ngejar,mengejar
ngejarnya,mengejarnya
ngejatuhin,manjatuhkan
ngejek,mengejek
ngejelek,menjelekkan
ngejelek2in,menjelek-jelekkan
ngejilat,menjilat
ngejiplak,menjiplak
Ngejual,menjual
ngejuangin,memperjuangkan
ngejubel,berjubel
ngekeh,kekeh
ngekek,tertawa
ngeksis2an,eksis-eksisan
ngeladenin,meladeni
ngeladeninya,meladeninya
ngelahirin,melahirkan
ngelak,mengelak
ngelaksonin,menglakson
ngelakuin,melakukan
ngelamar,melamar
ngelamun,melamun
ngelanconk,melancong
ngelantik,melantik
ngelantur,melantur
ngelap,mengelap
ngelapak,berjualan
ngelaporin,melaporkan
ngelarang,melarang
ngelatihnya,melatihnya
ngelawak,melucu
ngelawan,melawan
ngeledek,mengejek
ngelelepin,menenggelamkan
ngelepas,melepas
ngeles,membuat alasan
ngelesnya,membuat alasannya
ngelewati,melewati
ngelewatin,melewati
ngeliat,melihat
ngeliate,melihat
ngeliatin,memperlihatkan
ngeliatnya,melihatnya
ngelihat,melihat
ngelihatnya,melihatnya
ngelilingin,mengelilingi
ngeliput,meliput
ngelirik,melirik
ngelitik,menggelitik
ngelive,disiarkan langsung
ngelu,pusing
ngeluapin,meluapkan
ngeluarin,mengeluarkan
ngeluarinya,mengeluarkannya
ngelucu,melucu
ngeluh,mengeluh
ngelukis,melukis
ngelupain,melupakan
ngelus,mengelus
ngembali,kembali
ngembalin,mengembalikan
ngembang,mengembang
ngembun,mengembun
ngemeng,ngomong
ngemeng2,ngomong-ngomong
ngemis2,mengemis-ngemis
ngemodus,membuat modus
ngemot,mengemut
ngena,mengena
ngenalin,mengenalkan
ngendap,mengendap
ngene,begini
ngeneh,begini
ngenes,mengenaskan
ngenet,internetan
ngepain,ngapain
ngepake',memakai
ngepel,mengepel
ngepelin,mengepelkan
ngepoin,mengepoi
ngerakit,merakit
ngeramal,meramal
ngeramein,meramaikan
ngerampas,merampas
ngerampok,merampok
ngerasa,merasa
ngerasain,merasakan
ngerayain,merayakan
ngerayainnya,merayakannya
ngerayainya,merayakannya
ngerayu,merayu
ngerebut,merebut
"ngerebut""",merebut-rebut
ngeremehin,meremehkan
ngerencanain,merencanakan
ngerendahin,merendahkan
ngerepotin,merepotkan
ngeres2,berpikiran kotor
ngerespon,merespons
ngeri2,ngeri-ngeri
ngeributin,meributkan
ngerii,ngeri
ngeriiiiii,ngeri
ngerintis,merintis
Ngeriset,melakukan riset
ngerix,ngerinya
ngerjain,mengerjakan
ngerokok,merokok
ngerrrriiii,ngeri
ngerti,mengerti
ngertii,mengerti
ngertiin,mengerti
ngertine,yang dimengerti
ngertio,ngertikan
ngerubah,mengubah
ngerugiin,merugikan
ngerugin,merugikan
ngerusak,merusak
ngerusakin,merusakkan
ngerussak,merusak
ngeselin,mengesalkan
nget,banget
ngetem,nongkrong
ngetik,mengetik
ngets,banget
ngetsz,banget
ngettt,banget
ngetuit,ngetweet
ngetwet,ngetweet
ngetwets,ngetweet
ngetwit,ngetweet
ngetwitnya,ngetweetnya
ngeuh,engah
ngfans,fan
ngfollow,follow
ngfolow,follow
ngg,tidak
ngga,tidak
nggak,tidak
nggakk,tidak
nggakpapa,tidak apa-apa
nggakyk,tidak seperti
nggali,menggali
nggandeng,menggandeng
ngganjel,mengganjal
ngganteng,ganteng
nggarap,mengerjakan
nggash,memberi
nggawa,membawa
nggawe,membuat
nggeh,engah
ngggk,enggak
nggih,iya
nggk,tidak
nggo,untuk
nggon,tempat
nggonku,tempatku
nggowes,bersepeda
nggowo,membawa
nggowo2,membawa
nggu,nunggu
nggundulinnya,menggundulinya
ngguyu,tertawa
nggy,gaya
nghirup,menghirup
ngibul,berkhayal
ngidam,mengidam
ngidem,ngikut
ngiderin,mengedarkan
ngigau,mengigau
ngih,iya
ngijinin,mengizinkan
ngikutin,mengikuti
ngilang,menghilang
ngilangin,menghilangkan
ngilerrrr,mengiler
ngimpi,mimpi
ngimpih,mimpi
ngimpiku,mimpiku
ngincer,mengincar
ngindarin,menghindari
nginep,menginap
nginepnya,menginapnya
ngingetin,mengingatkan
nginjek,menginjak
ngintil,mengikuti
ngintilin,mengintil
ngintip,mengintip
ngira,mengira
ngiranya,mengiranya
ngiri,mengiri
ngiriii,mengiri
ngirim,mengirim
ngiringan,mengiringi
ngiris,mengiris
ngiritya,mengiritnya
ngirup,menghirup
ngis,nangis
ngisi,mengisi
ngitem,menghitam
ngiterin,mengitari
ngitung,menghitung
ngitungin,menghitung
ngjak,mengajak
ngjak2,mengajak-ajak
ngjakin,mengajak
ngjakn,mengajak
ngjar,mengajar
ngjarin,mengajari
ngjk,mengajak
ngjkin,mengajak
ngk,tidak
ngke,nanti
ngkkkkkk,mengakak
ngko,nanti
ngkost,kos
ngkrong,nongkrong
ngku,mengaku
ngkut,ngikut
nglakokne,menjalankan
nglamar,melamar
nglelang,melelang
nglewatin,melewati
ngliat,melihat
ngliatin,melihat
nglumpuke,mengumpulkan
ngmg,ngomong
ngmgin,mengomongkan
ngmgn,ngomongin
ngmng,ngomong
ngmngin,ngomongin
ngmngnya,ngomongnya
ngmong,ngomong
ngmongin,ngomongin
ngmpln,mengumpulkan
ngmpul,kumpul
ngmpulin,mengumpulkan
ngmuk,mengamuk
ngnggur,menganggur
ngngkat,mengangkat
ngntuk,mengantuk
ngo,untuk
ngobro,ngobrol
ngobrol,mengobrol
ngoceh,mengoceh
ngocok,mengocok
ngocol,mengocol
ngolek,mencari
ngoleksi,mengoleksi
ngolokin,mengolok
ngom,mengomong
ngomel,mengomel
ngomen,mengomentari
ngomenin,mengomentari
ngomentarin,mengomentari
ngomentnya,mengomentarinya
ngomgn,ngomongin
ngomng,mengomong
ngomogin,ngomongin
ngomomg,mengomong
ngomong,mengomong
"ngomong""",ngomong-ngomong
ngomong2,ngomong-ngomong
ngomonge,ngomongnya
ngomongin,ngomongin
ngomongnya,mengomongnya
ngonku,tempatku
ngonoh,begitu
ngonthel,bersepeda
ngontrak,mengontrak
ngopikeun,ngopikan
ngopo,ngapain
ngorbanin,mengorbankan
ngosek,nanti
ngowes,bersepeda
ngowo,membawa
ngowo2,membawa
ngp,ngapain
ngpain,ngapain
ngpn,ngapain
ngpo,ngapain
ngra,mengira
ngrakit,merakit
ngrasain,merasai
ngrasake,merasakan
ngrasakno,merasakan
ngrayain,merayakan
ngrebut,merebut
ngri,negeri
ngriii,mengiri
ngrokok,merokok
ngrsain,merasakan
ngrti,mengerti
ngrusak,merusak
ngrusin,mengurusi
ngsh,ngasih
ngsih,ngasih
ngtain,mengatai
ngtif,negatif
ngubah,mengubah
ngubengi,mengitari
nguburin,menguburkan
ngucapin,mengucapkan
nguidam,ngidam
ngulang,mengulang
ngulangin,mengulangi
nguliah,kuliah
ngumbar,mengumbar
ngumbar2,mengumbar-umbar
ngumpat2,mengumpat-ngumpat
ngumpet,bersembunyi
"ngumpet""",mengumpet-ngumpet
ngumung,mengomong
ngungkit2,mengungkit-ungkit
ngunu,begitu
ngupi,ngopi
ngupi2,ngopi-ngopi
ngurangin,mengurangi
nguras,menguras
ngurus,mengurus
ngurusan,mengurusi
ngurusin,mengurusi
ngurusinya,mengurusinya
ngurusinyo,mengurusinya
ngusul,usul
ngusulin,mengusulkan
ngutang,hutang
ngutangi,menghutangi
nguyu,tertawa
nguyuh,kencing
nh,nih
nha,nya
ni,ini
nich,nih
nie,ini
night,malam
nih2,nih-nih
nihh,nih
nihhh,nih
nii,ini
niih,nih
niihh,nih
niiih,nih
niiihh,nih
niiiihh,nih
nikaah,nikah
nikahin,menikahi
nikmatin,menikmati
nilai2,nilai-nilai
nimpuk,menimpuk
ninggalin,meninggalkan
ninggiin,meninggikan
nipuin,menipu
niru,meniru
nisan,nissan
niyyyyhhhh,nih
njay,anjay
njayyy,anjay
njerr,anjir
njih,iya
njiirr,anjir
njir,anjir
njirr,anjir
njirrr,anjir
njrittt,anjir
njupuk,mengambil
nlp,menelpon
nlpn,menelpon
nm,nama
nma,nama
nmanya,namanya
nmax,namanya
nmbah,bertambah
nmbk,menembak
nmna,namanya
nmnya,namanya
nmor,nomor
nmpak,tampak
nmpk,tampak
nmr,nomor
nmrnya,nomornya
nmun,namun
nnggu,menunggu
nngguin,tungguin
nngis,nenagis
nnt,nanti
nnti,nanti
nntn,menonton
nnton,nonton
nntonnya,nontonnya
no,nomor
nobar,menonton bareng
nolak,menolak
nolong,menolong
nolongin,menolong
nomer,nomor
nomere,nomornya
nonton,menonton
nontonnnn,menonton
nontonny,menontonnya
nontonx,menontonnya
nontonya,nontonnya
nontoonnn,menonton
nope,nomor HP
nothing,tidak ada
notif,pemberitahuan
notifnya,pemberitahuannya
nov,november
novembr,november
now,sekarang
npa,kenapa
nraktir,mentraktir
nrka,neraka
nt,nanti
ntab,mantab
ntaf,mantap
ntah,entah
ntap,mantap
ntappp,mantap
ntapsss,mantap
ntar,nanti
nti,nanti
ntik,cantik
ntikk,cantik
ntinya,nantinya
ntip,nitip
ntn,nonton
nton,nonton
ntr,nanti
nuduh,menuduh
nulis,menulis
number,nomor
numpak,naik
nunduk,menunduk
nunggu,menunggu
nungguin,menunggu
nungu,nunggu
nuntut,menuntut
nusuk,menusuk
"nutup""in",menutup-nutupi
nutupin,menutupi
ny,nya
nyaa,nya
nyaaa,nya
nyaaaa,nya
nyaaaaaaa,nya
nyaaaaaaaaa,nya
nyaaaaaaaaaaaaa,nya
nyadar,menyadar
nyah,nya
nyakitin,menyakiti
nyalahin,menyalahkan
nyamain,menyamakan
nyambet,menyambat
nyambung,menyambung
nyambungin,menyambung
nyampah,menyampah
nyampe,sampai
nyampein,menyampaikan
nyampenya,sampainya
nyangka,menyangka
nyangkaa,menyangka
nyangkutnya,menyangkutnya
nyanyiin,menyanyi
nyaranin,menyarani
nyari,mencari
nyaru,menyaru
nyatakan,menyatakan
nyatok,mencatok
nyebelin,menyebalkan
nyebur,mencebur
nyebut2,menyebut-nyebut
nyebutin,menyebutkan
nyela,mencela
nyelengi,menabung
nyelesain,menyelesaikan
nyelesein,menyelesaikan
nyembuhin,menyembuhkan
nyempetin,menyempatkan
nyender,menyandar
nyenengin,menyenangkan
nyengir,menyengir
nyengol,menyenggol
nyeniii,menyeni
nyepedah,bersepeda
nyeplak,menjiplak
nyerang,menyerang
nyerocooooos,mencerocos
nyerocos,mencerocos
nyesek,bikin sesak
nyesel,menyesal
nyesell,menyesal
nyet,monyet
nyia2in,menyia-nyiakan
nyimak,menyimak
nyimpen,menyimpan
nyindir,menyindir
nyindirin,menyindir
nyinyirin,nyinyir
nyir2,nyinyir
nynyi,menyanyi
nyo,nya
nyoba,mencoba
nyobain,mencoba
nyok,yuk
nyokap,ibu
nyolong,mencuri
nyolot,menyolot
nyolotinnnn,menyolot
nyopet,mencopet
nyta,nyata
nyubit,mencubit
nyubitt,mencubit
nyupir,menyopir
nyupire,menyopir
nyupiri,menyopir
nyuri,mencuri
nyusahhin,menyusahkan
nyusahin,menyusahkan
nyusul,menyusul
oalaaaa,walah
og,kok
ohh,oh
ohhhh,oh
oia,oh iya
ole2,oleh-oleh
oleh2,oleh-oleh
ole-ole,oleh-oleh
oles2,oles-oles
oma2,oma-oma
omaaaaaaakk,oma
omaigat,Ya Tuhan
omaigot,Ya Tuhan
omdo,omong doang
omg,Ya Tuhan
omongin,mengomongkan
ongkiir,ongkir
ongkirr,ongkir
ono,ada
onoh,sono
ooh,oh
oom,om
oooh,oh
oplas,operasi plastik
opo,apa
opr,operator
oprasi,operasi
oprasiya,operasinya
oprtr,operator
optional,pilihan
options,pilihan
or,orang
ora,tidak
orabg,orang
"orang""",orang-orang
"orang""nya",orang-orangnya
orang2,orang-orang
orangg,orang
org,orang
org2,orang-orang
orgalay,orang alay
orgil,orang gila
orgny,orangnya
orgnya,orangnya
orgtua,orangtua
orgtuanya,orang tuanya
ori,original
orlaen,orang lain
orng,orang
orng2,orang-orang
orngny,orangnya
orrunya,orang tuanya
ortu,orang tua
ortuny,orang tuanya
ortunya,orang tuanya
other,lainnya
others,lainnya
otmatis,otomatis
otot2,otot-otot
otw,lagi di jalan
owalaah,walah
owh,oh
"p\baikan""",perbaikan
pa,apa
pa2,apa-apa
paaak,pak
paati,pasti
pabrkan,pabrikan
pacal,pacar
pacalku,pacarku
pacara,pacaran
pacarane,pacarannya
pacaranya,pacarannya
pacarn,pacaran
pacarnyaa,pacarnya
pacarr,pacar
pacarrr,pacar
padahall,padahal
padahl,padahal
padet,padat
padetan,padatan
padhe,pakde
padhl,padahal
pager,pagar
pahalax,pahalanya
pahamin,memahami
pailit,pelit
pait,pahit
pakaianya,pakaiannya
pake,pakai
pakein,pakaikan
pakek,pakai
pakke,pakai
paksain,memaksa
pala,kepala
palgi,apalagi
palinf,paling
palingann,palingan
pan,kapan
panasnye,panasnya
pancen,memang
pandanginya,memandanginya
panggilan'y,panggilannya
panggilan'ya,panggilannya
pangil,panggil
pangilan,panggilan
panglingg,pangling
pankapan,kapan-kapan
pans,fan
pantes,pantas
pantess,pantas
papahhhnya,papahnya
papiii,papi
para2,parah-parah
paraa,para
paraaah,parah
paraah,parah
parahh,parah
parent,orangtua
parents,orangtua
paripurnahh,paripurna
parsis,persis
party,pesta
pas2an,pas-pasan
pasangn,pasangan
"pasien""nya",pasien-pasiennya
pass,pas
passs,pas
past,pasti
pastii,pasti
payahh,payah
pcar,pacar
pcaran,pacaran
pcaranya,pacarannya
pcarku,pacarku
pcarny,pacarnya
pcr,[acar
pcran,pacaran
pcrmu,pacarmu
pcrn,pacaran
pcrnya,pacarnya
pcrx,pacarnya
pd,pada
pda,pada
pdahal,padahal
pdhal,padahal
pdhalkan,padahalkan
pdhall,padahal
pdhl,padahal
pdng,padang
peace,damai
pecahhg,pecah
pede,percaya diri
pedes,pedas
pedesssss,pedas
peduliin,mempedulikan
pedulilaaaah,pedulilah
peen,pengin
peengn,pengin
pegang2,pegang-pegang
pegangin,memegang
pegel,pegal
pegi,pergi
pekerjan,pekerjaan
pelangan,pelanggan
pelastik,plastik
pelayananya,pelayanannya
peleotin,meleot
peliharaaaa,pelihara
pelis,*memohon
pelkunya,pelakunya
pelwak,pelawak
pemainy,pemainnya
pemainya,pemainnya
pemakaianya,pemakaiannya
pembayaranya,pembayarannya
pembelan,pembelaan
pembelanjan,pembelanjaan
pembicaran,pembicaraan
pembicraan,pembicaraan
pembicran,pembicaraan
pemkot,pemerintah kota
pemotor,pemakai motor
pemprov,pemerintah provinsi
pen,pengin
penasaraaann,penasaran
penasarannnn,penasaran
penasarn,penasaran
penbelian,pembelian
pencetane,pencetannya
pencinta,pecinta
pencitran,pencitraan
penderitan,penderitaan
pendiem,pendiam
pengalam,pengalaman
pengan,pengin
penganten,pengantin
pengantian,penggantian
pengeeenn,pengin
pengen,ingin
pengenn,pengin
pengennn,pengin
pengennnn,pengin
pengerjan,pengerjaan
pengerjanya,pengerjaannya
penghargan,penghargaan
penghrgaan,penghargaan
pengikuy,pengikut
pengila,penggila
penginapa,penginapan
penginepan,penginapan
pengmuman,pengumuman
pengn,pengin
pengrusak,perusak
penguna,pengguna
pengunan,penggunaan
pensaran,penasaran
pentass,pentas
pentingg,penting
penyakitny,penyakitnya
penyanyi2,penyanyi-penyanyi
penyebab2,penyebab-penyebab
peragain,peragakan
perasaanny,perasaannya
perasan,perasaan
perasanku,perasaanku
perasanmu,perasaanmu
perbaikin,memperbaiki
perbulannn,perbulan
percya,percaya
perduli,peduli
perhatiam,perhatian
perhatiin,perhatikan
perilakuny,perilakunya
perjabatt,pejabat
perjlanan,perjalanan
perkiran,perkiraan
perkoro,perkara
perktaan,perkataan
perktan,perkataan
permaenan,permainan
permasalahanya,permasalahannya
permasalhkan,permasalahkan
perna,pernah
pernikahn,pernikahan
personill,personil
pertamany,pertamanya
pertanyanya,pertanyaannya
pertanyanye,pertanyaannya
pertma,pertama
perubut,perebut
pesen,pesan
pesenan,pesanan
pesenanku,pesananku
petinggi2,petinggi-petinggi
pg,pagi
pgang,pegang
pgar,pagar
pgen,ingin
pggl,panggil
pgguna,pengguna
pgi,pagi
pgi2,pagi-pagi
pgin,pengin
pgl,panggil
pgn,ingin
pgnnya,inginnya
pguna,pengguna
phk,pihak
photo,foto
pi,tapi
picnic,piknik
picnya,gambarnya
pics,gambar
picture,gambar
piiiilih,pilih
piiink,pink
pijet,pijat
pijete,pijatnya
"pikir""",pikir-pikir
pilgub,pemilihan gubernur
pilihannny,pilihannya
pilihnmu,pilihanmu
pilm,film
pingin,ingin
pinginnn,pengin
pinjem,pinjam
pinjeman,pinjaman
pinjemin,pinjamkan
pinkkkk,pink
pinten,berapa
pinter,pintar
pintr,pintar
pipine,pipinya
pipinyaaa,pipinya
pipi'y,pipinya
piro,berapa
pis,damai
pisan,sekali
piscok,pisang cokelat
piye,bagaimana
pjang,pajang
pjg,panjang
pk,pakai
pkai,pakai
pke,pakai
pkee,pakai
pkek,pakai
pkeknyo,pakainya
pkerjaan,pekerjaan
pkerjan,pekerjaan
pket,paket
pkk,pakai
pkok,pokok
pkoke,pokoknya
pkoknya,pokoknya
pkoknyaa,pokoknya
pkrin,pikirkan
pkt,paket
pla,pula
place,tempat
plampiasannn,pelampiasan
please,*memohon
plen,teman
plend,teman
plg,pulang
plh,pilih
plih,pilih
plihan,pilihan
plihanmu,pilihanmu
plihannya,pilihannya
plihanya,pilihannya
pling,paling
plis,*memohon
pljar,pelajar
pljaran,pelajaran
pljrn,pelajaran
plng,pulang
plnggan,pelanggan
pls,pulsa
plsa,pulsa
pluk,peluk
pmain,pemain
pmbantu,pembantu
pmbelajaran,pembelajaran
pmbelian,pembelian
pmbngn,pembangunan
pmbngnn,pembangunan
pmbyran,pembayaran
pmenang,pemenang
pmeran,pameran
pnasx,panasnya
pndah,pindah
pndahkn,pindahkan
pndai,pandai
pndang,pandang
pndapat,pendapat
pndeta,pendeta
pndh,pindah
pndhkan,pindahkan
pndk,pendek
pndngn,pandangan
pndok,pondok
pnempatan,penempatan
png,ingin
pngaduan,pengaduan
pngamatan,pengamatan
pngandaran,pangandaran
pngantin,pengantin
pngawas,pengawas
pngecekan,pengecekan
pngeckn,pengecekan
pngemar,penggemar
pngemudi,pengemudi
pngen,ingin
pngenn,pengin
pnggemar,penggemar
pnggil,panggil
pnggila,panggilan
pnggiln,panggilan
pnggiran,pinggiran
pnggl,panggil
pngguna,pengguna
pngil,panggil
pngila,panggilan
pngiln,penggilan
pngiran,pinggiran
pngkal,pangkal
pngkatan,pangkatan
pngl,panggil
pngn,ingin
pngnnya,inginnya
pngnya,inginnya
pngthan,pengetahuan
pnguna,pengguna
pngunjungna,pengunjungnya
pngusaha,pengusaha
pnh,pernah
pnjam,pinjam
pnjang,panjang
pnjem,pinjam
pnjerumus,penjerumus
pnjng,panjang
pnjual,penjual
pnngkatan,peningkatan
pnter,pintar
pntes,pantas
pntg,penting
pnting,penting
pntng,penting
pntu,pintu
pnuh,penuh
pnumpang,penumpang
pnungang,penunggang
pny,punya
pnya,punya
pnyaa,punya
poko,pokok
pokok'a,pokoknya
pokoke,pokoknya
pokokmen,pokoknya
pokokna,pokoknya
pokokny,pokoknya
pokoknyah,pokoknya
pokoknye,pokoknya
pokonya,pokoknya
polll,pol
pollll,pol
ponakan2,ponakan-ponakan
ponakn,ponakan
poollll,pol
poool,pol
poooolllll,pol
posisix,posisinya
position,posisi
positip,positif
positippp,positif
positive,positif
poto,foto
poto2,foto-foto
potone,fotonya
potonga,potongan
potongane,potongannya
potonganya,potongannya
potongny,potongannya
ppa,papa
praktekin,mempraktikkan
prancis,perancis
prasaan,perasaan
prasamu,perasaanmu
prasan,perasaan
prawatan,perawatan
prbaikn,perbaikan
prbndinganya,perbandingannya
prbyar,prabayar
prcaya,percaya
prcuma,percuma
prcy,percaya
prcya,percaya
prduk,produk
prempuan,perempuan
prepare,persiapan
present,hadir
